char,pca_3,pca_5,pca_7
195,[ 312.36906381 -637.18402815 -149.82497461],[ 312.36906381 -637.18402815 -149.82497461  482.06204844  868.96953795],"[ 312.36906381 -637.18402815 -149.82497461  482.06204844  868.96953795
 -182.84918376  -35.04966091]"
196,[ 305.13245228 -659.78062961 -166.605959  ],[ 305.13245228 -659.78062961 -166.605959    465.87569156  823.16528921],"[ 305.13245228 -659.78062961 -166.605959    465.87569156  823.16528921
 -189.37826886  -30.14156287]"
197,[ 299.86874708 -639.68475943 -158.71957432],[ 299.86874708 -639.68475943 -158.71957432  469.42909003  874.21323151],"[ 299.86874708 -639.68475943 -158.71957432  469.42909003  874.21323151
 -150.61261567  -58.17245022]"
198,[-42.29841358 211.74708605 -73.85864479],[-42.29841358 211.74708605 -73.85864479 143.52939018 187.96458857],"[-42.29841358 211.74708605 -73.85864479 143.52939018 187.96458857
 661.4304263  213.42565518]"
199,[ 106.53488755  253.7452813  -125.64585232],[ 106.53488755  253.7452813  -125.64585232  259.74958167 -376.32835547],"[ 106.53488755  253.7452813  -125.64585232  259.74958167 -376.32835547
  -99.75392884 -501.1868396 ]"
200,[-27.22898352 -46.93468999 931.16544767],[-27.22898352 -46.93468999 931.16544767  14.16601769  88.16613741],"[-27.22898352 -46.93468999 931.16544767  14.16601769  88.16613741
 271.64963325 -40.75643277]"
201,[-23.68700764 -48.08867482 932.81289916],[-23.68700764 -48.08867482 932.81289916  14.12454889  77.00082392],"[-23.68700764 -48.08867482 932.81289916  14.12454889  77.00082392
 287.71821636 -37.04866018]"
202,[ -7.98497695 -29.27913859 961.75516053],[ -7.98497695 -29.27913859 961.75516053  38.77809773 128.15646035],"[ -7.98497695 -29.27913859 961.75516053  38.77809773 128.15646035
 248.54088428 -50.11112395]"
203,[-14.75938224 -52.51583914 941.49415366],[-14.75938224 -52.51583914 941.49415366  30.29025678  86.90247839],"[-14.75938224 -52.51583914 941.49415366  30.29025678  86.90247839
 246.44607534 -37.49826432]"
204,[-570.60595519   80.5333908   279.32381373],[-570.60595519   80.5333908   279.32381373   11.53278777  134.27535892],"[-570.60595519   80.5333908   279.32381373   11.53278777  134.27535892
 -399.72037132   69.93673222]"
205,[-668.55714388  308.92195371 -235.85613225],[-668.55714388  308.92195371 -235.85613225  -36.54842106  235.52298703],"[-668.55714388  308.92195371 -235.85613225  -36.54842106  235.52298703
  155.11136642   48.14988602]"
206,[-555.68080486  114.50900121  304.37637426],[-555.68080486  114.50900121  304.37637426   44.22226959  212.20069567],"[-555.68080486  114.50900121  304.37637426   44.22226959  212.20069567
 -388.02240521   58.20188618]"
207,[-568.71305512  101.09854832  286.82606206],[-568.71305512  101.09854832  286.82606206   29.74090015  166.34807549],"[-568.71305512  101.09854832  286.82606206   29.74090015  166.34807549
 -377.15595086   60.47454714]"
208,[671.30952946 402.58180886 501.48404411],[ 671.30952946  402.58180886  501.48404411  167.54345283 -160.19172851],"[ 671.30952946  402.58180886  501.48404411  167.54345283 -160.19172851
  148.42031144  -58.78701831]"
209,[ 695.69539759  509.70475405 -257.20974126],[ 695.69539759  509.70475405 -257.20974126  565.19284153   33.92617222],"[ 695.69539759  509.70475405 -257.20974126  565.19284153   33.92617222
 -173.57649565  452.59510383]"
210,[728.94753099 999.35268812  80.84158636],[728.94753099 999.35268812  80.84158636   3.45745678 258.69519479],"[728.94753099 999.35268812  80.84158636   3.45745678 258.69519479
 -71.68463908  77.77830819]"
211,[ 725.19756187 1007.27258127   81.37273435],"[7.25197562e+02 1.00727258e+03 8.13727344e+01 5.76859450e-01
 2.58394722e+02]","[ 7.25197562e+02  1.00727258e+03  8.13727344e+01  5.76859450e-01
  2.58394722e+02 -5.63897114e+01  7.37464200e+01]"
212,[ 751.52786711 1021.77213995  110.6776107 ],[ 751.52786711 1021.77213995  110.6776107    32.70327387  306.82975074],"[ 751.52786711 1021.77213995  110.6776107    32.70327387  306.82975074
  -95.88986899   73.13394039]"
